global time,time(in ms),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,QuatX,QuatY,QuatZ,QuatW
17/07/17 01:28:50:669,6,0.91845703,-0.14355469,-0.30932617,-0.041504778,-0.0053211255,-0.0042569004,-0.12939453,-0.7998047,-0.0029296875,0.5859375
17/07/17 01:28:50:674,11,0.9194336,-0.1418457,-0.3095703,-0.041504778,-0.0053211255,-0.0042569004,-0.12890625,-0.7998047,-0.0034179688,0.5859375
17/07/17 01:28:50:680,17,0.92041016,-0.140625,-0.3076172,-0.04789013,-0.0063853506,-0.0021284502,-0.12841797,-0.80078125,-0.00390625,0.58447266
17/07/17 01:28:50:686,23,0.9223633,-0.14013672,-0.30908203,-0.048954353,-0.0042569004,-0.0021284502,-0.12841797,-0.80029297,-0.00390625,0.58496094
17/07/17 01:28:50:691,28,0.9194336,-0.14501953,-0.31054688,-0.05001858,-0.0042569004,-0.0021284502,-0.12792969,-0.80029297,-0.0043945313,0.5854492
17/07/17 01:28:50:696,33,0.9194336,-0.14501953,-0.31054688,-0.05001858,-0.0042569004,-0.0021284502,-0.12792969,-0.80029297,-0.0043945313,0.5854492
17/07/17 01:28:50:701,38,0.9223633,-0.14648438,-0.30932617,-0.05001858,-0.0031926753,-0.0021284502,-0.12841797,-0.80029297,-0.00390625,0.58496094
17/07/17 01:28:50:706,43,0.9223633,-0.14648438,-0.30932617,-0.05001858,-0.0031926753,-0.0021284502,-0.12841797,-0.80029297,-0.00390625,0.58496094
17/07/17 01:28:50:711,48,0.91918945,-0.14355469,-0.30786133,-0.046825904,-0.0031926753,-0.0021284502,-0.12890625,-0.80029297,-0.0034179688,0.58496094
17/07/17 01:28:50:716,53,0.91918945,-0.14355469,-0.30786133,-0.046825904,-0.0031926753,-0.0021284502,-0.12890625,-0.80029297,-0.0034179688,0.58496094
17/07/17 01:28:50:721,58,0.91918945,-0.14355469,-0.30786133,-0.046825904,-0.0031926753,-0.0021284502,-0.12890625,-0.80029297,-0.0034179688,0.58496094
17/07/17 01:28:50:727,64,0.91918945,-0.14355469,-0.30786133,-0.046825904,-0.0031926753,-0.0021284502,-0.12890625,-0.80029297,-0.0034179688,0.58496094
17/07/17 01:28:50:732,69,0.91918945,-0.14355469,-0.30786133,-0.046825904,-0.0031926753,-0.0021284502,-0.12890625,-0.80029297,-0.0034179688,0.58496094
17/07/17 01:28:50:737,74,0.91918945,-0.14355469,-0.30786133,-0.046825904,-0.0031926753,-0.0021284502,-0.12890625,-0.80029297,-0.0034179688,0.58496094
17/07/17 01:28:50:742,79,0.91918945,-0.14355469,-0.30786133,-0.046825904,-0.0031926753,-0.0021284502,-0.12890625,-0.80029297,-0.0034179688,0.58496094
17/07/17 01:28:50:748,85,0.91918945,-0.14355469,-0.30786133,-0.046825904,-0.0031926753,-0.0021284502,-0.12890625,-0.80029297,-0.0034179688,0.58496094
17/07/17 01:28:50:753,90,0.91918945,-0.14355469,-0.30786133,-0.046825904,-0.0031926753,-0.0021284502,-0.12890625,-0.80029297,-0.0034179688,0.58496094
17/07/17 01:28:50:758,95,0.91918945,-0.14355469,-0.30786133,-0.046825904,-0.0031926753,-0.0021284502,-0.12890625,-0.80029297,-0.0034179688,0.58496094
17/07/17 01:28:50:763,100,0.9211426,-0.14160156,-0.30932617,-0.04576168,-0.0042569004,-0.0010642251,-0.12890625,-0.80029297,-0.0034179688,0.58496094
17/07/17 01:28:50:768,105,0.9211426,-0.14160156,-0.30932617,-0.04576168,-0.0042569004,-0.0010642251,-0.12890625,-0.80029297,-0.0034179688,0.58496094
17/07/17 01:28:50:773,110,0.91967773,-0.14404297,-0.3076172,-0.038312104,-0.0053211255,-0.0021284502,-0.12939453,-0.80029297,-0.0029296875,0.5854492
17/07/17 01:28:50:778,115,0.91967773,-0.14404297,-0.3076172,-0.038312104,-0.0053211255,-0.0021284502,-0.12939453,-0.80029297,-0.0029296875,0.5854492
17/07/17 01:28:50:783,120,0.920166,-0.14746094,-0.31103516,-0.034055203,-0.0053211255,-0.0031926753,-0.12939453,-0.7998047,-0.0029296875,0.5854492
17/07/17 01:28:50:789,126,0.920166,-0.14746094,-0.31103516,-0.034055203,-0.0053211255,-0.0031926753,-0.12939453,-0.7998047,-0.0029296875,0.5854492
17/07/17 01:28:50:794,131,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:799,136,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:804,141,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:809,146,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:814,151,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:819,156,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:824,161,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:830,167,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
