global time,time(in ms),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,QuatX,QuatY,QuatZ,QuatW
17/07/11 05:04:34:240,7,-0.7631836,0.025390625,0.5727539,-0.032990977,-0.044697456,0.0042569004,0.013183594,0.44677734,4.8828125E-4,0.89404297
17/07/11 05:04:34:245,12,-0.7631836,0.025390625,0.5727539,-0.032990977,-0.044697456,0.0042569004,0.013183594,0.44677734,4.8828125E-4,0.89404297
17/07/11 05:04:34:250,17,-0.7631836,0.025390625,0.5727539,-0.032990977,-0.044697456,0.0042569004,0.013183594,0.44677734,4.8828125E-4,0.89404297
17/07/11 05:04:34:256,23,-0.7631836,0.025390625,0.5727539,-0.032990977,-0.044697456,0.0042569004,0.013183594,0.44677734,4.8828125E-4,0.89404297
17/07/11 05:04:34:261,28,-0.7631836,0.025390625,0.5727539,-0.032990977,-0.044697456,0.0042569004,0.013183594,0.44677734,4.8828125E-4,0.89404297
17/07/11 05:04:34:266,33,-0.7631836,0.025390625,0.5727539,-0.032990977,-0.044697456,0.0042569004,0.013183594,0.44677734,4.8828125E-4,0.89404297
17/07/11 05:04:34:271,38,-0.7644043,0.025878906,0.5727539,-0.03192675,-0.044697456,0.0042569004,0.0126953125,0.44677734,0.0,0.89404297
17/07/11 05:04:34:277,44,-0.7663574,0.021972656,0.5751953,-0.032990977,-0.044697456,0.0042569004,0.014160156,0.44677734,9.765625E-4,0.89404297
17/07/11 05:04:34:283,50,-0.7590332,0.024414063,0.5749512,-0.03192675,-0.04576168,0.0031926753,0.014160156,0.44677734,4.8828125E-4,0.89453125
17/07/11 05:04:34:288,55,-0.7590332,0.024414063,0.5749512,-0.03192675,-0.04576168,0.0031926753,0.013183594,0.44677734,4.8828125E-4,0.89453125
17/07/11 05:04:34:293,60,-0.7590332,0.024414063,0.5749512,-0.03192675,-0.04576168,0.0031926753,0.013183594,0.44677734,4.8828125E-4,0.89453125
17/07/11 05:04:34:300,67,-0.7590332,0.024414063,0.5749512,-0.03192675,-0.04576168,0.0031926753,0.013183594,0.44677734,4.8828125E-4,0.89453125
17/07/11 05:04:34:306,73,-0.7590332,0.024414063,0.5749512,-0.03192675,-0.04576168,0.0031926753,0.013183594,0.44677734,4.8828125E-4,0.89453125
17/07/11 05:04:34:312,79,-0.76782227,0.024169922,0.5686035,-0.03192675,-0.044697456,0.0042569004,0.013671875,0.44726563,4.8828125E-4,0.89404297
17/07/11 05:04:34:323,90,-0.75927734,0.023925781,0.5710449,-0.034055203,-0.044697456,0.0031926753,0.013671875,0.44726563,4.8828125E-4,0.89404297
17/07/11 05:04:34:340,107,-0.7609863,0.024414063,0.5722656,-0.034055203,-0.04363323,0.0042569004,0.013671875,0.44726563,4.8828125E-4,0.89404297
17/07/11 05:04:34:345,112,-0.7651367,0.025146484,0.5732422,-0.032990977,-0.04576168,0.0063853506,0.013671875,0.44677734,4.8828125E-4,0.89453125
17/07/11 05:04:34:351,118,-0.7651367,0.025146484,0.5732422,-0.032990977,-0.04576168,0.0063853506,0.013671875,0.44677734,4.8828125E-4,0.89453125
17/07/11 05:04:34:357,124,-0.76342773,0.024902344,0.5744629,-0.032990977,-0.044697456,0.0042569004,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:365,132,-0.765625,0.026367188,0.57128906,-0.032990977,-0.044697456,0.0042569004,0.013671875,0.44628906,9.765625E-4,0.89453125
17/07/11 05:04:34:370,137,-0.765625,0.026367188,0.57128906,-0.032990977,-0.044697456,0.0042569004,0.013671875,0.44628906,9.765625E-4,0.89453125
17/07/11 05:04:34:375,142,-0.76220703,0.028564453,0.5710449,-0.032990977,-0.04363323,0.0042569004,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:380,147,-0.76220703,0.028564453,0.5710449,-0.032990977,-0.04363323,0.0042569004,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:386,153,-0.7648926,0.024902344,0.57055664,-0.032990977,-0.044697456,0.0053211255,0.0146484375,0.44726563,0.0014648438,0.89404297
17/07/11 05:04:34:390,157,-0.7648926,0.024902344,0.57055664,-0.032990977,-0.044697456,0.0053211255,0.0146484375,0.44726563,0.0014648438,0.89404297
17/07/11 05:04:34:395,162,-0.767334,0.028320313,0.5727539,-0.034055203,-0.04363323,0.0063853506,0.0146484375,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:400,167,-0.767334,0.028320313,0.5727539,-0.034055203,-0.04363323,0.0063853506,0.0146484375,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:406,173,-0.76660156,0.02368164,0.56811523,-0.034055203,-0.044697456,0.0042569004,0.015136719,0.4477539,0.0014648438,0.89404297
17/07/11 05:04:34:411,178,-0.76660156,0.02368164,0.56811523,-0.034055203,-0.044697456,0.0042569004,0.015136719,0.4477539,0.0014648438,0.89404297
17/07/11 05:04:34:416,183,-0.7631836,0.025878906,0.57421875,-0.032990977,-0.044697456,0.0063853506,0.0146484375,0.4482422,9.765625E-4,0.8935547
17/07/11 05:04:34:421,188,-0.7631836,0.025878906,0.57421875,-0.032990977,-0.044697456,0.0063853506,0.0146484375,0.4482422,9.765625E-4,0.8935547
17/07/11 05:04:34:426,193,-0.76342773,0.028320313,0.57373047,-0.032990977,-0.04576168,0.0053211255,0.0146484375,0.4477539,9.765625E-4,0.89404297
17/07/11 05:04:34:432,199,-0.76342773,0.028320313,0.57373047,-0.032990977,-0.04576168,0.0053211255,0.0146484375,0.4477539,9.765625E-4,0.89404297
17/07/11 05:04:34:437,204,-0.765625,0.024169922,0.5727539,-0.032990977,-0.04576168,0.0053211255,0.0146484375,0.44726563,0.0014648438,0.89404297
17/07/11 05:04:34:442,209,-0.765625,0.024169922,0.5727539,-0.032990977,-0.04576168,0.0053211255,0.0146484375,0.44726563,0.0014648438,0.89404297
17/07/11 05:04:34:448,215,-0.7636719,0.026855469,0.5695801,-0.030862529,-0.04576168,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:453,220,-0.7636719,0.026855469,0.5695801,-0.030862529,-0.04576168,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:459,226,-0.7636719,0.026855469,0.5695801,-0.030862529,-0.04576168,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:464,231,-0.7636719,0.026855469,0.5695801,-0.030862529,-0.04576168,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:469,236,-0.7636719,0.026855469,0.5695801,-0.030862529,-0.04576168,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:474,241,-0.7636719,0.026855469,0.5695801,-0.030862529,-0.04576168,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:479,246,-0.7636719,0.026855469,0.5695801,-0.030862529,-0.04576168,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:484,251,-0.76538086,0.025878906,0.57006836,-0.03192675,-0.044697456,0.0053211255,0.0146484375,0.4477539,9.765625E-4,0.89404297
17/07/11 05:04:34:491,258,-0.7648926,0.024414063,0.5703125,-0.032990977,-0.044697456,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:497,264,-0.7709961,0.024902344,0.57006836,-0.034055203,-0.044697456,0.0063853506,0.013671875,0.4477539,4.8828125E-4,0.89404297
17/07/11 05:04:34:503,270,-0.7709961,0.024902344,0.57006836,-0.034055203,-0.044697456,0.0063853506,0.013671875,0.4477539,4.8828125E-4,0.89404297
17/07/11 05:04:34:508,275,-0.7709961,0.024902344,0.57006836,-0.034055203,-0.044697456,0.0063853506,0.013671875,0.4477539,4.8828125E-4,0.89404297
17/07/11 05:04:34:514,281,-0.7709961,0.024902344,0.57006836,-0.034055203,-0.044697456,0.0063853506,0.013671875,0.4477539,4.8828125E-4,0.89404297
