Trial01
Date:,2017/07/11
Time:,16:52:01
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C,,,*1,,,*2
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
979,-338.971344,307.498688,983.606812,-340.317200,206.276718,981.684387,-267.877930,256.175568,977.539734,,,,,,
980,-338.998566,307.502502,983.594177,-340.343597,206.276047,981.670288,-267.905762,256.175781,977.552979,,,,,,
981,-339.030090,307.506958,983.579224,-340.374146,206.275528,981.653992,-267.937958,256.175964,977.568542,,,,,,
982,-339.065704,307.511963,983.562073,-340.408600,206.275253,981.635620,-267.974365,256.176117,977.586487,,,,,,
983,-339.105072,307.517487,983.542786,-340.446716,206.275253,981.615295,-268.014679,256.176270,977.606628,,,,,,
984,-339.147797,307.523376,983.521545,-340.488068,206.275604,981.593140,-268.058594,256.176361,977.628784,,,,,,
985,-339.193329,307.529510,983.498657,-340.532288,206.276382,981.569275,-268.105621,256.176422,977.652832,,,,,,
986,-339.241180,307.535797,983.474304,-340.578918,206.277588,981.543884,-268.155334,256.176483,977.678406,,,,,,
987,-339.290802,307.542145,983.448792,-340.627533,206.279251,981.517151,-268.207123,256.176544,977.705261,,,,,,
988,-339.341705,307.548492,983.422485,-340.677704,206.281296,981.489380,-268.260529,256.176666,977.733215,,,,,,
989,-339.393433,307.554779,983.395630,-340.728943,206.283691,981.460693,-268.314880,256.176849,977.762024,,,,,,
990,-339.445618,307.560913,983.368408,-340.780823,206.286392,981.431396,-268.369629,256.177246,977.791382,,,,,,
991,-339.497925,307.566925,983.341125,-340.833008,206.289352,981.401733,-268.424255,256.177856,977.821106,,,,,,
992,-339.550110,307.572754,983.313904,-340.885162,206.292511,981.371948,-268.478333,256.178802,977.850952,,,,,,
993,-339.601929,307.578430,983.286804,-340.937012,206.295731,981.342224,-268.531525,256.180023,977.880859,,,,,,
994,-339.653290,307.583954,983.260010,-340.988434,206.298889,981.312744,-268.583618,256.181488,977.910522,,,,,,
995,-339.704193,307.589294,983.233459,-341.039276,206.301849,981.283752,-268.634491,256.183197,977.939941,,,,,,
996,-339.754639,307.594391,983.207214,-341.089478,206.304520,981.255249,-268.684021,256.184998,977.968872,,,,,,
997,-339.804657,307.599243,983.181152,-341.139038,206.306900,981.227356,-268.732147,256.186920,977.997375,,,,,,
998,-339.854279,307.603882,983.155212,-341.187927,206.309021,981.199951,-268.778900,256.188904,978.025269,,,,,,
999,-339.903625,307.608276,983.129272,-341.236206,206.310974,981.173035,-268.824310,256.191010,978.052551,,,,,,
1000,-339.952698,307.612366,983.103333,-341.283997,206.312851,981.146362,-268.868530,256.193237,978.079224,,,,,,
1001,-340.001587,307.616119,983.077332,-341.331299,206.314804,981.119873,-268.911682,256.195709,978.105286,,,,,,
1002,-340.050293,307.619415,983.051270,-341.378204,206.316910,981.093384,-268.953888,256.198486,978.130798,,,,,,
1003,-340.098877,307.622131,983.025085,-341.424713,206.319214,981.066833,-268.995331,256.201660,978.155701,,,,,,
1004,-340.147339,307.624176,982.998901,-341.470917,206.321762,981.040039,-269.036133,256.205322,978.180054,,,,,,
1005,-340.195618,307.625366,982.972717,-341.516785,206.324509,981.013062,-269.076416,256.209473,978.203918,,,,,,
1006,-340.243713,307.625671,982.946594,-341.562317,206.327423,980.985962,-269.116272,256.214142,978.227295,,,,,,
1007,-340.291595,307.624908,982.920654,-341.607544,206.330368,980.958740,-269.155823,256.219269,978.250244,,,,,,
1008,-340.339203,307.623047,982.894958,-341.652405,206.333206,980.931580,-269.195099,256.224762,978.272705,,,,,,
1009,-340.386475,307.620056,982.869690,-341.696869,206.335800,980.904480,-269.234100,256.230438,978.294861,,,,,,
1010,-340.433289,307.615936,982.844849,-341.740875,206.337967,980.877563,-269.272858,256.236145,978.316650,,,,,,
1011,-340.479553,307.610809,982.820435,-341.784363,206.339600,980.851013,-269.311340,256.241791,978.338074,,,,,,
1012,-340.525146,307.604736,982.796631,-341.827148,206.340591,980.824890,-269.349548,256.247162,978.359192,,,,,,
1013,-340.569946,307.597870,982.773315,-341.869141,206.340897,980.799438,-269.387451,256.252197,978.380066,,,,,,
1014,-340.613770,307.590393,982.750488,-341.910187,206.340530,980.774658,-269.424927,256.256775,978.400635,,,,,,
1015,-340.656464,307.582489,982.728210,-341.950073,206.339569,980.750549,-269.461945,256.260864,978.420959,,,,,,
1016,-340.697906,307.574432,982.706360,-341.988708,206.338074,980.727112,-269.498291,256.264435,978.440918,,,,,,
1017,-340.737976,307.566376,982.685059,-342.025970,206.336151,980.704468,-269.533813,256.267548,978.460571,,,,,,
1018,-340.776550,307.558563,982.664307,-342.061798,206.333847,980.682495,-269.568329,256.270203,978.479736,,,,,,
1019,-340.813477,307.551117,982.644226,-342.096161,206.331268,980.661377,-269.601654,256.272491,978.498291,,,,,,
1020,-340.848663,307.544189,982.624878,-342.129028,206.328522,980.641052,-269.633667,256.274445,978.516235,,,,,,
1021,-340.881989,307.537811,982.606445,-342.160370,206.325653,980.621582,-269.664185,256.276123,978.533447,,,,,,
1022,-340.913391,307.532013,982.588928,-342.190216,206.322723,980.602966,-269.693146,256.277588,978.549866,,,,,,
1023,-340.942871,307.526855,982.572449,-342.218536,206.319778,980.585205,-269.720520,256.278900,978.565552,,,,,,
1024,-340.970398,307.522308,982.557007,-342.245361,206.316818,980.568298,-269.746277,256.280121,978.580383,,,,,,
1025,-340.996094,307.518311,982.542664,-342.270721,206.313873,980.552246,-269.770477,256.281342,978.594421,,,,,,
1026,-341.020020,307.514801,982.529297,-342.294708,206.310959,980.536926,-269.793213,256.282532,978.607605,,,,,,
1027,-341.042297,307.511749,982.516907,-342.317352,206.308075,980.522461,-269.814606,256.283722,978.620056,,,,,,
1028,-341.063110,307.509125,982.505371,-342.338806,206.305237,980.508728,-269.834808,256.284882,978.631775,,,,,,
1029,-341.082611,307.506836,982.494629,-342.359192,206.302475,980.495605,-269.853943,256.286072,978.642944,,,,,,
1030,-341.100952,307.504974,982.484497,-342.378571,206.299820,980.483093,-269.872192,256.287201,978.653625,,,,,,
1031,-341.118317,307.503479,982.474792,-342.397095,206.297318,980.471069,-269.889709,256.288300,978.664001,,,,,,
1032,-341.134888,307.502441,982.465271,-342.414825,206.295029,980.459412,-269.906647,256.289307,978.674133,,,,,,
1033,-341.150848,307.501892,982.455933,-342.431885,206.293030,980.447998,-269.923157,256.290161,978.684143,,,,,,
1034,-341.166382,307.501862,982.446533,-342.448425,206.291458,980.436707,-269.939484,256.290771,978.694153,,,,,,
1035,-341.181610,307.502380,982.436951,-342.464661,206.290405,980.425293,-269.955750,256.291138,978.704163,,,,,,
1036,-341.196777,307.503479,982.427124,-342.480743,206.289902,980.413635,-269.972198,256.291138,978.714294,,,,,,
1037,-341.211975,307.505188,982.416870,-342.496887,206.290009,980.401550,-269.989014,256.290802,978.724670,,,,,,
1038,-341.227478,307.507477,982.406189,-342.513275,206.290710,980.388916,-270.006409,256.290009,978.735413,,,,,,
1039,-341.243469,307.510345,982.394897,-342.530121,206.291992,980.375610,-270.024567,256.288757,978.746582,,,,,,
1040,-341.260132,307.513794,982.382996,-342.547485,206.293808,980.361572,-270.043671,256.286957,978.758301,,,,,,
1041,-341.277710,307.517700,982.370422,-342.565582,206.296127,980.346680,-270.063873,256.284637,978.770569,,,,,,
1042,-341.296356,307.522095,982.357117,-342.584503,206.298843,980.330994,-270.085297,256.281799,978.783447,,,,,,
1043,-341.316254,307.526886,982.343140,-342.604431,206.301849,980.314453,-270.108032,256.278503,978.796936,,,,,,
1044,-341.337616,307.532013,982.328491,-342.625397,206.305054,980.297119,-270.132172,256.274750,978.811157,,,,,,
1045,-341.360504,307.537476,982.313110,-342.647552,206.308411,980.279053,-270.157745,256.270630,978.825989,,,,,,
