Trial03
Date:,2017/07/11
Time:,16:59:08
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C
Field #,X,Y,Z,X,Y,Z,X,Y,Z
520,-350.113007,304.327881,983.203369,-344.915558,203.180893,980.585693,-275.688293,257.646393,978.788696
521,-350.099823,304.323853,983.208557,-344.904510,203.177109,980.585510,-275.667419,257.645569,978.791321
522,-350.085846,304.319122,983.213562,-344.893738,203.173447,980.585144,-275.644623,257.644287,978.795105
523,-350.071655,304.313660,983.218140,-344.883881,203.170074,980.584412,-275.620514,257.642517,978.800171
524,-350.058014,304.307434,983.221741,-344.875641,203.167160,980.583069,-275.595886,257.640198,978.806702
525,-350.045837,304.300354,983.223572,-344.869781,203.164780,980.580750,-275.571808,257.637390,978.814697
526,-350.036194,304.292328,983.223022,-344.867065,203.162964,980.576965,-275.549622,257.634003,978.824219
527,-350.030334,304.283051,983.219177,-344.868317,203.161636,980.571167,-275.531006,257.630035,978.835144
528,-350.029663,304.272186,983.210999,-344.874329,203.160675,980.562805,-275.518036,257.625275,978.847229
529,-350.035767,304.259308,983.197449,-344.885895,203.159821,980.551331,-275.513031,257.619598,978.860229
530,-350.050201,304.244171,983.177734,-344.903778,203.158737,980.536133,-275.518341,257.612854,978.873901
531,-350.074432,304.226776,983.151428,-344.928711,203.156921,980.516602,-275.535767,257.605072,978.888611
532,-350.109802,304.207336,983.118225,-344.961365,203.153870,980.492188,-275.566376,257.596344,978.905334
533,-350.157288,304.186188,983.078125,-345.002380,203.149170,980.462463,-275.610657,257.586945,978.925293
534,-350.217590,304.163849,983.031189,-345.052307,203.142578,980.426758,-275.668823,257.577057,978.949768
535,-350.291138,304.140839,982.977478,-345.111633,203.134033,980.384705,-275.740906,257.566986,978.979919
536,-350.378174,304.117859,982.917053,-345.180756,203.123642,980.335876,-275.826813,257.556915,979.016602
537,-350.478729,304.095520,982.849976,-345.260040,203.111664,980.280029,-275.926361,257.547150,979.060425
