global time,time(in ms),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,QuatX,QuatY,QuatZ,QuatW
17/07/11 05:05:59:860,5,-0.7702637,0.034423828,0.5666504,-0.034055203,-0.044697456,0.0063853506,0.019042969,0.4506836,0.0,0.89208984
17/07/11 05:05:59:865,10,-0.7702637,0.034423828,0.5666504,-0.034055203,-0.044697456,0.0063853506,0.019042969,0.4506836,0.0,0.89208984
17/07/11 05:05:59:870,15,-0.7631836,0.03491211,0.5605469,-0.034055203,-0.044697456,0.0042569004,0.01953125,0.4506836,4.8828125E-4,0.89208984
17/07/11 05:05:59:875,20,-0.7631836,0.03491211,0.5605469,-0.034055203,-0.044697456,0.0042569004,0.01953125,0.4506836,4.8828125E-4,0.89208984
17/07/11 05:05:59:880,25,-0.77124023,0.034423828,0.56225586,-0.034055203,-0.04576168,0.0063853506,0.01953125,0.4506836,4.8828125E-4,0.89208984
17/07/11 05:05:59:885,30,-0.77124023,0.034423828,0.56225586,-0.034055203,-0.04576168,0.0063853506,0.020019531,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:05:59:890,35,-0.77124023,0.034423828,0.56225586,-0.034055203,-0.04576168,0.0063853506,0.020019531,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:05:59:895,40,-0.77124023,0.034423828,0.56225586,-0.034055203,-0.04576168,0.0063853506,0.020019531,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:05:59:900,45,-0.77124023,0.034423828,0.56225586,-0.034055203,-0.04576168,0.0063853506,0.020019531,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:05:59:905,50,-0.77124023,0.034423828,0.56225586,-0.034055203,-0.04576168,0.0063853506,0.020019531,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:05:59:910,55,-0.77246094,0.03491211,0.5644531,-0.03511943,-0.04576168,0.0063853506,0.020019531,0.45166016,4.8828125E-4,0.89160156
17/07/11 05:05:59:917,62,-0.77197266,0.033203125,0.5644531,-0.036183655,-0.044697456,0.0063853506,0.020019531,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:05:59:928,73,-0.7663574,0.03149414,0.5661621,-0.036183655,-0.04576168,0.0063853506,0.019042969,0.45117188,0.0,0.89208984
17/07/11 05:05:59:943,88,-0.7663574,0.03149414,0.5661621,-0.036183655,-0.04576168,0.0063853506,0.019042969,0.45117188,0.0,0.89208984
17/07/11 05:05:59:955,100,-0.7663574,0.03149414,0.5661621,-0.036183655,-0.04576168,0.0063853506,0.019042969,0.45117188,0.0,0.89208984
17/07/11 05:05:59:963,108,-0.7663574,0.03149414,0.5661621,-0.036183655,-0.04576168,0.0063853506,0.019042969,0.45117188,0.0,0.89208984
17/07/11 05:05:59:974,119,-0.7663574,0.03149414,0.5661621,-0.036183655,-0.04576168,0.0063853506,0.019042969,0.45117188,0.0,0.89208984
17/07/11 05:05:59:979,124,-0.7614746,0.033447266,0.56518555,-0.03511943,-0.04576168,0.0053211255,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:05:59:985,130,-0.7702637,0.033447266,0.5625,-0.03511943,-0.044697456,0.0074495757,0.019042969,0.45117188,0.0,0.89208984
17/07/11 05:05:59:990,135,-0.77490234,0.03491211,0.5637207,-0.03511943,-0.044697456,0.0074495757,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:05:59:995,140,-0.77490234,0.03491211,0.5637207,-0.03511943,-0.044697456,0.0074495757,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:06:00:000,145,-0.77490234,0.03491211,0.5637207,-0.03511943,-0.044697456,0.0074495757,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:06:00:005,150,-0.77490234,0.03491211,0.5637207,-0.03511943,-0.044697456,0.0074495757,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:06:00:010,155,-0.77490234,0.03491211,0.5637207,-0.03511943,-0.044697456,0.0074495757,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:06:00:015,160,-0.77490234,0.03491211,0.5637207,-0.03511943,-0.044697456,0.0074495757,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:06:00:021,166,-0.77490234,0.03491211,0.5637207,-0.03511943,-0.044697456,0.0074495757,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:06:00:026,171,-0.76538086,0.03540039,0.5612793,-0.03511943,-0.044697456,0.0042569004,0.019042969,0.45117188,0.0,0.89208984
17/07/11 05:06:00:043,188,-0.76538086,0.03540039,0.5612793,-0.03511943,-0.044697456,0.0042569004,0.019042969,0.45117188,0.0,0.89208984
17/07/11 05:06:00:048,193,-0.7709961,0.034179688,0.5612793,-0.03511943,-0.044697456,0.0042569004,0.01953125,0.4506836,4.8828125E-4,0.89208984
17/07/11 05:06:00:054,199,-0.7709961,0.034179688,0.5612793,-0.03511943,-0.04363323,0.0053211255,0.020019531,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:06:00:059,204,-0.765625,0.032714844,0.5632324,-0.03511943,-0.044697456,0.0053211255,0.020019531,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:06:00:064,209,-0.765625,0.032714844,0.5632324,-0.03511943,-0.044697456,0.0053211255,0.020019531,0.45166016,4.8828125E-4,0.89160156
17/07/11 05:06:00:069,214,-0.7705078,0.032470703,0.56225586,-0.03511943,-0.044697456,0.0063853506,0.01953125,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:06:00:075,220,-0.7705078,0.032470703,0.56225586,-0.03511943,-0.044697456,0.0063853506,0.01953125,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:06:00:081,226,-0.76293945,0.032470703,0.5583496,-0.03511943,-0.04363323,0.0053211255,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:06:00:086,231,-0.76293945,0.032470703,0.5583496,-0.03511943,-0.04363323,0.0053211255,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:06:00:091,236,-0.76293945,0.032470703,0.5583496,-0.03511943,-0.04363323,0.0053211255,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:06:00:097,242,-0.76293945,0.032470703,0.5583496,-0.03511943,-0.04363323,0.0053211255,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:06:00:102,247,-0.7680664,0.034423828,0.5666504,-0.03511943,-0.04576168,0.0063853506,0.018554688,0.45214844,0.0,0.89160156
17/07/11 05:06:00:122,267,-0.7692871,0.035888672,0.57006836,-0.036183655,-0.04576168,0.0053211255,0.01953125,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:06:00:128,273,-0.7675781,0.033203125,0.5625,-0.036183655,-0.04576168,0.0053211255,0.01953125,0.4506836,4.8828125E-4,0.89208984
17/07/11 05:06:00:133,278,-0.76831055,0.03466797,0.5637207,-0.03511943,-0.044697456,0.0053211255,0.01953125,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:06:00:138,283,-0.76831055,0.03466797,0.5637207,-0.03511943,-0.044697456,0.0053211255,0.01953125,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:06:00:143,288,-0.76831055,0.03466797,0.5637207,-0.03511943,-0.044697456,0.0053211255,0.01953125,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:06:00:152,297,-0.76831055,0.03466797,0.5637207,-0.03511943,-0.044697456,0.0053211255,0.01953125,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:06:00:158,303,-0.76831055,0.03466797,0.5637207,-0.03511943,-0.044697456,0.0053211255,0.01953125,0.45117188,4.8828125E-4,0.89208984
17/07/11 05:06:00:164,309,-0.763916,0.030029297,0.56396484,-0.034055203,-0.044697456,0.0063853506,0.019042969,0.4506836,0.0,0.89208984
17/07/11 05:06:00:172,317,-0.76953125,0.037353516,0.56518555,-0.034055203,-0.044697456,0.0053211255,0.019042969,0.4506836,0.0,0.89208984
17/07/11 05:06:00:190,335,-0.76538086,0.033203125,0.5588379,-0.03511943,-0.044697456,0.0053211255,0.01953125,0.4506836,4.8828125E-4,0.89208984
17/07/11 05:06:00:196,341,-0.76538086,0.033203125,0.5588379,-0.03511943,-0.044697456,0.0053211255,0.01953125,0.4506836,4.8828125E-4,0.89208984
17/07/11 05:06:00:202,347,-0.76953125,0.032226563,0.5629883,-0.03511943,-0.044697456,0.0063853506,0.01953125,0.45166016,4.8828125E-4,0.89208984
17/07/11 05:06:00:207,352,-0.76953125,0.032226563,0.5629883,-0.03511943,-0.044697456,0.0063853506,0.01953125,0.45166016,4.8828125E-4,0.89208984
17/07/11 05:06:00:212,357,-0.76660156,0.032226563,0.56811523,-0.03511943,-0.044697456,0.0053211255,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:06:00:217,362,-0.76660156,0.032226563,0.56811523,-0.03511943,-0.044697456,0.0053211255,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:06:00:222,367,-0.76660156,0.032226563,0.56811523,-0.03511943,-0.044697456,0.0053211255,0.019042969,0.45166016,0.0,0.89160156
17/07/11 05:06:00:227,372,-0.76660156,0.032226563,0.56811523,-0.03511943,-0.044697456,0.0053211255,0.019042969,0.45166016,0.0,0.89160156
