Trial02
Date:,2017/07/11
Time:,16:54:38
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C
Field #,X,Y,Z,X,Y,Z,X,Y,Z
671,-339.693817,307.845215,983.190186,-341.078705,206.551880,981.155640,-268.601715,256.289642,978.072571
672,-339.692108,307.847290,983.193115,-341.079315,206.551926,981.157104,-268.601685,256.289185,978.072998
673,-339.690643,307.849243,983.196228,-341.079956,206.552002,981.158752,-268.601746,256.288788,978.073425
674,-339.689484,307.851013,983.199524,-341.080597,206.552109,981.160339,-268.601898,256.288483,978.073853
675,-339.688782,307.852539,983.202759,-341.081299,206.552277,981.161987,-268.602234,256.288300,978.074280
676,-339.688660,307.853882,983.205933,-341.082245,206.552536,981.163391,-268.602905,256.288300,978.074707
677,-339.689270,307.855103,983.208801,-341.083588,206.552887,981.164612,-268.604034,256.288452,978.075256
678,-339.690826,307.856262,983.211365,-341.085632,206.553299,981.165527,-268.605865,256.288727,978.075928
679,-339.693634,307.857361,983.213318,-341.088623,206.553772,981.165955,-268.608643,256.289185,978.076965
680,-339.697998,307.858429,983.214539,-341.092865,206.554184,981.165833,-268.612640,256.289764,978.078491
681,-339.704285,307.859375,983.214783,-341.098694,206.554489,981.165039,-268.618195,256.290436,978.080811
682,-339.712921,307.860199,983.213867,-341.106567,206.554611,981.163269,-268.625641,256.291229,978.084229
683,-339.724426,307.860870,983.211487,-341.117035,206.554520,981.160278,-268.635437,256.292145,978.089050
684,-339.739319,307.861298,983.207214,-341.130676,206.554169,981.155701,-268.648041,256.293152,978.095764
685,-339.758209,307.861481,983.200806,-341.148224,206.553558,981.148987,-268.664032,256.294434,978.104797
686,-339.781738,307.861389,983.191711,-341.170410,206.552689,981.139709,-268.684052,256.295990,978.116516
687,-339.810699,307.861053,983.179443,-341.198029,206.551575,981.127258,-268.708740,256.297943,978.131470
688,-339.845825,307.860382,983.163635,-341.231842,206.550247,981.111084,-268.738892,256.300385,978.150024
689,-339.887848,307.859375,983.143860,-341.272491,206.548721,981.090698,-268.775146,256.303345,978.172668
690,-339.937378,307.857941,983.119751,-341.320587,206.547028,981.065735,-268.818085,256.306854,978.199768
691,-339.994629,307.856079,983.091187,-341.376404,206.545151,981.036011,-268.868042,256.310974,978.231384
692,-340.059570,307.853699,983.058228,-341.439850,206.543091,981.001465,-268.924988,256.315704,978.267517
693,-340.131622,307.850769,983.020996,-341.510468,206.540863,980.962402,-268.988647,256.320953,978.307800
694,-340.209900,307.847290,982.979980,-341.587280,206.538528,980.919250,-269.058319,256.326721,978.351685
695,-340.293121,307.843292,982.935852,-341.669128,206.536102,980.872681,-269.133057,256.332825,978.398376
696,-340.379944,307.838837,982.889221,-341.754547,206.533707,980.823364,-269.211792,256.339142,978.447083
697,-340.468933,307.834137,982.840759,-341.842163,206.531418,980.772034,-269.293427,256.345490,978.497009
698,-340.558868,307.829346,982.791138,-341.930725,206.529373,980.719238,-269.376953,256.351624,978.547546
699,-340.648743,307.824829,982.740845,-342.019226,206.527740,980.665588,-269.461517,256.357391,978.598145
700,-340.737946,307.820801,982.690186,-342.106873,206.526627,980.611328,-269.546356,256.362610,978.648376
701,-340.825989,307.817474,982.639526,-342.193237,206.526169,980.556702,-269.631042,256.367157,978.698120
702,-340.912811,307.815094,982.588989,-342.278137,206.526398,980.501892,-269.715363,256.370880,978.747192
703,-340.998596,307.813721,982.538574,-342.361725,206.527283,980.446960,-269.799286,256.373688,978.795715
704,-341.083740,307.813354,982.488281,-342.444305,206.528717,980.391846,-269.883118,256.375519,978.843811
705,-341.168762,307.813965,982.437805,-342.526398,206.530640,980.336365,-269.967163,256.376404,978.891663
706,-341.254364,307.815369,982.387024,-342.608612,206.532913,980.280396,-270.051880,256.376373,978.939636
707,-341.341187,307.817352,982.335571,-342.691620,206.535446,980.223755,-270.137756,256.375580,978.987976
708,-341.429901,307.819763,982.283081,-342.776123,206.538132,980.166138,-270.225189,256.374298,979.036743
709,-341.521088,307.822296,982.229370,-342.862671,206.540787,980.107483,-270.314545,256.372772,979.086121
710,-341.615173,307.824677,982.174133,-342.951813,206.543274,980.047607,-270.406128,256.371277,979.136292
711,-341.712524,307.826660,982.117310,-343.043915,206.545410,979.986450,-270.500122,256.370087,979.187195
712,-341.813354,307.828033,982.058777,-343.139221,206.547058,979.923950,-270.596619,256.369415,979.238953
713,-341.917755,307.828613,981.998535,-343.237915,206.548080,979.860229,-270.695679,256.369415,979.291565
714,-342.025665,307.828339,981.936523,-343.339966,206.548294,979.795288,-270.797241,256.370209,979.344971
715,-342.136963,307.827301,981.872803,-343.445313,206.547577,979.729187,-270.901306,256.371918,979.399231
716,-342.251404,307.825653,981.807373,-343.553772,206.545853,979.662109,-271.007782,256.374542,979.454285
717,-342.368622,307.823639,981.740234,-343.665100,206.543121,979.593994,-271.116577,256.378082,979.510193
718,-342.488251,307.821686,981.671631,-343.779053,206.539444,979.525024,-271.227783,256.382477,979.566956
719,-342.609955,307.820129,981.601501,-343.895477,206.535004,979.455139,-271.341339,256.387604,979.624573
720,-342.733459,307.819336,981.529907,-344.014191,206.530014,979.384338,-271.457397,256.393341,979.683167
721,-342.858612,307.819580,981.456909,-344.135101,206.524765,979.312561,-271.576080,256.399536,979.742737
722,-342.985352,307.820984,981.382385,-344.258270,206.519485,979.239624,-271.697510,256.406036,979.803528
723,-343.113800,307.823639,981.306213,-344.383728,206.514465,979.165222,-271.821960,256.412720,979.865540
724,-343.244141,307.827393,981.228210,-344.511597,206.509918,979.089111,-271.949646,256.419434,979.928955
725,-343.376831,307.832062,981.148010,-344.642029,206.506042,979.010864,-272.080963,256.426056,979.993958
726,-343.512390,307.837250,981.065430,-344.775269,206.503036,978.930176,-272.216217,256.432526,980.060547
727,-343.651367,307.842499,980.980164,-344.911560,206.500961,978.846619,-272.355743,256.438751,980.128906
728,-343.794281,307.847382,980.891846,-345.051239,206.499802,978.759827,-272.499817,256.444733,980.199097
729,-343.941589,307.851532,980.800354,-345.194580,206.499451,978.669495,-272.648651,256.450470,980.271179
730,-344.093658,307.854614,980.705505,-345.341919,206.499695,978.575439,-272.802460,256.456024,980.345093
731,-344.250732,307.856567,980.607178,-345.493591,206.500320,978.477356,-272.961334,256.461517,980.420837
732,-344.413025,307.857361,980.505188,-345.649872,206.501114,978.375183,-273.125427,256.466980,980.498413
733,-344.580719,307.857178,980.399536,-345.811066,206.501846,978.268860,-273.294769,256.472412,980.577759
734,-344.753937,307.856293,980.290039,-345.977386,206.502426,978.158203,-273.469513,256.477722,980.658936
735,-344.932739,307.855072,980.176514,-346.149017,206.502853,978.043152,-273.649811,256.482880,980.742004
736,-345.117126,307.853882,980.058838,-346.326080,206.503204,977.923523,-273.835876,256.487762,980.826904
737,-345.307098,307.852936,979.936707,-346.508575,206.503662,977.799255,-274.027832,256.492371,980.913757
738,-345.502563,307.852478,979.810059,-346.696503,206.504440,977.670044,-274.225800,256.496674,981.002380
739,-345.703461,307.852570,979.678833,-346.889679,206.505737,977.535889,-274.429871,256.500641,981.092957
740,-345.909546,307.853333,979.542969,-347.088013,206.507675,977.396729,-274.639923,256.504211,981.185364
741,-346.120605,307.854767,979.402344,-347.291229,206.510300,977.252441,-274.855896,256.507446,981.279663
742,-346.336212,307.856964,979.256958,-347.499115,206.513535,977.103149,-275.077606,256.510437,981.375977
743,-346.556030,307.859955,979.106506,-347.711548,206.517166,976.949158,-275.304779,256.513336,981.474243
744,-346.779663,307.863739,978.951111,-347.928345,206.521027,976.790588,-275.537231,256.516296,981.574402
745,-347.006805,307.868256,978.790771,-348.149323,206.524963,976.627930,-275.774750,256.519409,981.676514
746,-347.237183,307.873444,978.625549,-348.374268,206.528885,976.461426,-276.017120,256.522797,981.780273
747,-347.470642,307.879181,978.455811,-348.602844,206.532837,976.291443,-276.264252,256.526550,981.885559
748,-347.707062,307.885284,978.281677,-348.834747,206.536835,976.118164,-276.516022,256.530762,981.992065
749,-347.946320,307.891571,978.103638,-349.069550,206.540894,975.941833,-276.772247,256.535461,982.099487
750,-348.188263,307.897766,977.921814,-349.306915,206.544922,975.762634,-277.032654,256.540649,982.207458
751,-348.432770,307.903809,977.736511,-349.546478,206.548721,975.580688,-277.296906,256.546234,982.315674
752,-348.679657,307.909546,977.547852,-349.788055,206.552094,975.396057,-277.564758,256.552094,982.423828
753,-348.928650,307.915100,977.356079,-350.031403,206.554840,975.208740,-277.835968,256.558105,982.531860
754,-349.179535,307.920441,977.161194,-350.276428,206.556900,975.018799,-278.110321,256.564178,982.639526
755,-349.432159,307.925598,976.963379,-350.522919,206.558243,974.826233,-278.387695,256.570129,982.746948
756,-349.686371,307.930573,976.762573,-350.770752,206.558990,974.630859,-278.668030,256.575836,982.854004
757,-349.942108,307.935425,976.558777,-351.019714,206.559311,974.432739,-278.951263,256.581207,982.960815
758,-350.199280,307.940308,976.351990,-351.269653,206.559402,974.231750,-279.237488,256.586121,983.067505
759,-350.457733,307.945435,976.142090,-351.520386,206.559372,974.027893,-279.526672,256.590668,983.174133
760,-350.717285,307.951050,975.929016,-351.771851,206.559250,973.821228,-279.818726,256.595062,983.280640
761,-350.977539,307.957520,975.712524,-352.023956,206.558945,973.611938,-280.113495,256.599579,983.386902
762,-351.238220,307.965057,975.492676,-352.276520,206.558456,973.400146,-280.410736,256.604431,983.492737
763,-351.498901,307.973511,975.269836,-352.529358,206.557892,973.186035,-280.709991,256.609711,983.597900
764,-351.759308,307.982391,975.044495,-352.782196,206.557388,972.969727,-281.010895,256.615356,983.702026
765,-352.019012,307.991028,974.817566,-353.034576,206.557129,972.751587,-281.312927,256.621155,983.804871
766,-352.277802,307.998932,974.589844,-353.286102,206.557236,972.531860,-281.615723,256.626953,983.906067
767,-352.535431,308.005859,974.361877,-353.536438,206.557724,972.310791,-281.918762,256.632690,984.005554
768,-352.791687,308.011841,974.134155,-353.785217,206.558548,972.088745,-282.221649,256.638367,984.103027
769,-353.046417,308.017090,973.907166,-354.032257,206.559586,971.865967,-282.523895,256.644012,984.198425
770,-353.299500,308.021942,973.681091,-354.277405,206.560745,971.642822,-282.825195,256.649689,984.291687
771,-353.550781,308.026703,973.456177,-354.520508,206.561951,971.419556,-283.125397,256.655457,984.382751
772,-353.800262,308.031525,973.232361,-354.761475,206.563248,971.196350,-283.424500,256.661316,984.471680
773,-354.047943,308.036499,973.009827,-355.000183,206.564728,970.973206,-283.722595,256.667328,984.558655
774,-354.294006,308.041626,972.788635,-355.236542,206.566483,970.749939,-284.019897,256.673553,984.643860
775,-354.538635,308.046844,972.568665,-355.470551,206.568558,970.526306,-284.316528,256.679962,984.727478
776,-354.782043,308.052032,972.349854,-355.702240,206.570938,970.302063,-284.612579,256.686432,984.809753
777,-355.024384,308.056976,972.131897,-355.931824,206.573425,970.077026,-284.908203,256.692627,984.890930
778,-355.265747,308.061432,971.914429,-356.159546,206.575806,969.851013,-285.203552,256.698303,984.971191
779,-355.506134,308.065002,971.697144,-356.385742,206.577881,969.623901,-285.498810,256.703247,985.050598
780,-355.745575,308.067474,971.479553,-356.610657,206.579498,969.395630,-285.794281,256.707306,985.129211
781,-355.984161,308.068817,971.261414,-356.834412,206.580719,969.165955,-286.090240,256.710449,985.207092
782,-356.222046,308.069092,971.042419,-357.057037,206.581787,968.934753,-286.386810,256.712677,985.284180
783,-356.459412,308.068451,970.822510,-357.278473,206.582977,968.701660,-286.684082,256.714172,985.360413
784,-356.696289,308.067047,970.601624,-357.498627,206.584610,968.466553,-286.981964,256.715179,985.435791
785,-356.932617,308.065094,970.379761,-357.717407,206.586853,968.229187,-287.280487,256.716064,985.510071
786,-357.168243,308.062866,970.157043,-357.934784,206.589737,967.989868,-287.579498,256.717163,985.583008
787,-357.402924,308.060699,969.933594,-358.150665,206.593079,967.748779,-287.878876,256.718842,985.654236
788,-357.636383,308.059021,969.709656,-358.365051,206.596634,967.506714,-288.178253,256.721283,985.723389
789,-357.868286,308.058258,969.485474,-358.577698,206.600098,967.264343,-288.477112,256.724518,985.790344
790,-358.098267,308.058655,969.261475,-358.788361,206.603271,967.022461,-288.774841,256.728271,985.854980
791,-358.325897,308.060272,969.038269,-358.996582,206.606003,966.781799,-289.070740,256.732361,985.917236
792,-358.550720,308.062927,968.816345,-359.201874,206.608276,966.542908,-289.364075,256.736664,985.977112
793,-358.772278,308.066345,968.596252,-359.403839,206.610031,966.306396,-289.654266,256.741028,986.034668
794,-358.990051,308.070160,968.378540,-359.602081,206.611130,966.072876,-289.940796,256.745300,986.090027
795,-359.203644,308.074219,968.163513,-359.796417,206.611359,965.842773,-290.223328,256.749298,986.143188
796,-359.412781,308.078400,967.951538,-359.986725,206.610367,965.616699,-290.501526,256.752869,986.194214
797,-359.617157,308.082672,967.742615,-360.172974,206.607803,965.395020,-290.775269,256.755920,986.243164
798,-359.816742,308.087006,967.536743,-360.355316,206.603409,965.178162,-291.044464,256.758545,986.290100
799,-360.011566,308.091370,967.333923,-360.533813,206.597122,964.966187,-291.309082,256.760834,986.335205
800,-360.201691,308.095703,967.134094,-360.708618,206.589050,964.759277,-291.569214,256.762939,986.378540
801,-360.387360,308.100006,966.937317,-360.879822,206.579468,964.557190,-291.825043,256.764893,986.420410
802,-360.568726,308.104309,966.743591,-361.047577,206.568787,964.359741,-292.076782,256.766693,986.461121
803,-360.746063,308.108673,966.552795,-361.211945,206.557510,964.166565,-292.324646,256.768250,986.500977
804,-360.919525,308.113190,966.364807,-361.373016,206.546280,963.977295,-292.568939,256.769318,986.540405
805,-361.089233,308.117950,966.179565,-361.530975,206.535690,963.791443,-292.809784,256.769684,986.579712
806,-361.255341,308.123077,965.996704,-361.686035,206.526352,963.608521,-293.047363,256.769226,986.619141
807,-361.417969,308.128571,965.816040,-361.838470,206.518799,963.427979,-293.281708,256.767883,986.658875
808,-361.577179,308.134491,965.637207,-361.988556,206.513535,963.249329,-293.512695,256.765778,986.698792
809,-361.732941,308.140839,965.459839,-362.136597,206.510941,963.072083,-293.740173,256.763153,986.738831
810,-361.885223,308.147675,965.283630,-362.282654,206.511337,962.895813,-293.963959,256.760284,986.778625
811,-362.033905,308.154968,965.108215,-362.426758,206.514938,962.720154,-294.183960,256.757446,986.817993
812,-362.178925,308.162811,964.933228,-362.568848,206.521820,962.544739,-294.400330,256.754822,986.856567
813,-362.320251,308.171173,964.758240,-362.708832,206.531967,962.369324,-294.613373,256.752502,986.894165
814,-362.457977,308.179993,964.582947,-362.846619,206.545197,962.193542,-294.823486,256.750427,986.930725
815,-362.592346,308.189056,964.407104,-362.982178,206.561188,962.017212,-295.031158,256.748627,986.966187
816,-362.723602,308.198242,964.230530,-363.115479,206.579453,961.840210,-295.236816,256.747131,987.000427
817,-362.852081,308.207306,964.052979,-363.246429,206.599411,961.662598,-295.440765,256.746094,987.033203
818,-362.977966,308.216125,963.874451,-363.374939,206.620331,961.484497,-295.643158,256.745605,987.064453
819,-363.101654,308.224579,963.695068,-363.500977,206.641525,961.306213,-295.844025,256.745850,987.093933
820,-363.223358,308.232544,963.515015,-363.624512,206.662338,961.128052,-296.043091,256.746979,987.121460
821,-363.343445,308.239929,963.334595,-363.745697,206.682327,960.950134,-296.240204,256.748962,987.147034
822,-363.462250,308.246643,963.154175,-363.864655,206.701187,960.772705,-296.435150,256.751678,987.170532
823,-363.580048,308.252686,962.974060,-363.981628,206.718750,960.595825,-296.627899,256.754913,987.192200
824,-363.697021,308.258057,962.794373,-364.096771,206.734909,960.419800,-296.818604,256.758392,987.212158
825,-363.813263,308.262909,962.615295,-364.210327,206.749634,960.244751,-297.007568,256.761902,987.230652
826,-363.928741,308.267456,962.436707,-364.322540,206.763000,960.070740,-297.195160,256.765137,987.247925
827,-364.043396,308.272125,962.258484,-364.433533,206.775223,959.897888,-297.381683,256.767914,987.264099
828,-364.157227,308.277130,962.080383,-364.543518,206.786514,959.726074,-297.567413,256.770081,987.279297
829,-364.270172,308.282684,961.902222,-364.652710,206.797150,959.555237,-297.752625,256.771729,987.293701
830,-364.382477,308.288849,961.723877,-364.761261,206.807434,959.385315,-297.937500,256.772949,987.307312
831,-364.494293,308.295654,961.545349,-364.869324,206.817596,959.216125,-298.122375,256.773865,987.320313
832,-364.606049,308.302917,961.366638,-364.977081,206.827881,959.047424,-298.307587,256.774597,987.332825
833,-364.718109,308.310577,961.187988,-365.084717,206.838501,958.878845,-298.493652,256.775177,987.345093
834,-364.830841,308.318481,961.009521,-365.192444,206.849548,958.709839,-298.681122,256.775604,987.357239
835,-364.944550,308.326508,960.831177,-365.300446,206.861053,958.539978,-298.870514,256.775940,987.369507
836,-365.059418,308.334442,960.652771,-365.408936,206.872971,958.368713,-299.062347,256.776123,987.382141
837,-365.175629,308.342102,960.474121,-365.518158,206.885101,958.195618,-299.257019,256.776245,987.395264
838,-365.293335,308.349152,960.294922,-365.628296,206.897202,958.020447,-299.454834,256.776337,987.408875
839,-365.412506,308.355255,960.115051,-365.739532,206.908905,957.842957,-299.655853,256.776367,987.422913
840,-365.533203,308.360046,959.934326,-365.851990,206.919785,957.663025,-299.859955,256.776306,987.437256
841,-365.655365,308.363220,959.752686,-365.965729,206.929535,957.480713,-300.066895,256.776123,987.451782
842,-365.778931,308.364563,959.570068,-366.080658,206.938110,957.295898,-300.276215,256.775757,987.466064
843,-365.903778,308.363953,959.386414,-366.196716,206.945663,957.108765,-300.487488,256.775238,987.479919
844,-366.029694,308.361511,959.201599,-366.313690,206.952393,956.919495,-300.700226,256.774536,987.492981
845,-366.156464,308.357422,959.015564,-366.431396,206.958542,956.728210,-300.914032,256.773682,987.505005
846,-366.283661,308.352051,958.828369,-366.549500,206.964355,956.535339,-301.128448,256.772736,987.515808
847,-366.410980,308.345734,958.639954,-366.667725,206.970032,956.341248,-301.343048,256.771698,987.525208
848,-366.537964,308.339020,958.450500,-366.785736,206.975769,956.146423,-301.557373,256.770721,987.533142
849,-366.664246,308.332245,958.260193,-366.903229,206.981613,955.951355,-301.771088,256.769836,987.539490
850,-366.789520,308.325867,958.069397,-367.019836,206.987595,955.756348,-301.983795,256.769287,987.544312
851,-366.913513,308.320129,957.878357,-367.135284,206.993698,955.561829,-302.195190,256.769165,987.547668
852,-367.036072,308.315247,957.687378,-367.249359,206.999802,955.367981,-302.405182,256.769653,987.549561
853,-367.157135,308.311310,957.496704,-367.361969,207.005783,955.174927,-302.613678,256.770844,987.550293
854,-367.276794,308.308350,957.306519,-367.473083,207.011520,954.982788,-302.820892,256.772827,987.550049
855,-367.395325,308.306274,957.117004,-367.582916,207.016953,954.791382,-303.027100,256.775543,987.549133
856,-367.512909,308.304962,956.928223,-367.691681,207.022064,954.600586,-303.232635,256.778870,987.547668
857,-367.629822,308.304108,956.740112,-367.799622,207.026871,954.410339,-303.437744,256.782623,987.545959
858,-367.746307,308.303497,956.552795,-367.907013,207.031311,954.220581,-303.642578,256.786652,987.544067
859,-367.862518,308.302948,956.366211,-368.014099,207.035233,954.031311,-303.847321,256.790649,987.541992
860,-367.978577,308.302246,956.180359,-368.121124,207.038422,953.842590,-304.051941,256.794373,987.539795
861,-368.094574,308.301361,955.995178,-368.228180,207.040710,953.654602,-304.256439,256.797638,987.537415
862,-368.210388,308.300171,955.810547,-368.335266,207.042023,953.467224,-304.460724,256.800323,987.534790
863,-368.325958,308.298737,955.626404,-368.442200,207.042450,953.280518,-304.664764,256.802368,987.531860
864,-368.441071,308.297058,955.442505,-368.548737,207.042282,953.094116,-304.868500,256.803772,987.528564
865,-368.555542,308.295197,955.258606,-368.654572,207.041855,952.907898,-305.071777,256.804504,987.524902
866,-368.669220,308.293213,955.074768,-368.759399,207.041580,952.721619,-305.274658,256.804565,987.520874
867,-368.782043,308.291046,954.891052,-368.862915,207.041885,952.535339,-305.476990,256.803925,987.516541
868,-368.893890,308.288727,954.707642,-368.964966,207.043091,952.349060,-305.678772,256.802612,987.511902
869,-369.004730,308.286072,954.524902,-369.065430,207.045471,952.162842,-305.879761,256.800568,987.507080
870,-369.114532,308.283051,954.343262,-369.164215,207.049103,951.976807,-306.079834,256.797791,987.502136
871,-369.223297,308.279510,954.163025,-369.261353,207.053986,951.791260,-306.278748,256.794464,987.497009
872,-369.330963,308.275482,953.984497,-369.356934,207.059982,951.606323,-306.476318,256.790680,987.491821
873,-369.437531,308.271027,953.807617,-369.451050,207.066864,951.422180,-306.672546,256.786621,987.486633
874,-369.542877,308.266327,953.632263,-369.543732,207.074356,951.239014,-306.867493,256.782410,987.481567
875,-369.646912,308.261627,953.458191,-369.635193,207.082153,951.056885,-307.061371,256.778168,987.476685
876,-369.749573,308.257080,953.284912,-369.725525,207.090012,950.875732,-307.254456,256.773865,987.472046
877,-369.850800,308.252838,953.111877,-369.814941,207.097717,950.695374,-307.447113,256.769470,987.467651
878,-369.950653,308.248962,952.938660,-369.903656,207.105148,950.515381,-307.639740,256.764984,987.463501
879,-370.049164,308.245453,952.764832,-369.991791,207.112137,950.335449,-307.832672,256.760254,987.459473
880,-370.146545,308.242249,952.590149,-370.079620,207.118561,950.155151,-308.026215,256.755310,987.455444
881,-370.242981,308.239288,952.414307,-370.167328,207.124268,949.974243,-308.220551,256.750244,987.451233
882,-370.338623,308.236603,952.237061,-370.255127,207.129150,949.792542,-308.415802,256.745209,987.446350
